election_num,election_year,winner,winner_party,elec_coll_votes_count,elec_coll_votes_perc,pop_votes_perc,pop_votes_perc_marg,pop_votes_count,pop_votes_count_marg,runner-up,runner-up_party,turnout
10,1824,John Quincy Adams,D.-R.,84/261,32.18%,30.92%,10.44%,"113,142","38,221",Andrew Jackson,D.-R.,26.90%
23,1876,Rutherford Hayes,Rep.,185/369,50.14%,47.92%,3.00%,"4,034,142","252,666",Samuel Tilden,Dem.,82.60%
58,2016,Donald Trump,Rep.,304/538,56.50%,45.98%,2.10%,"62,979,636","2,864,974",Hillary Rodham Clinton,Dem.,60.20%
26,1888,Benjamin Harrison,Rep.,233/401,58.10%,47.80%,0.83%,"5,443,633","94,530",Grover Cleveland,Dem.,80.50%
54,2000,George W. Bush,Rep.,271/538,50.37%,47.87%,0.51%,"50,460,110","543,816",Al Gore,Dem.,54.20%
24,1880,James Garfield,Rep.,214/369,57.99%,48.31%,0.09%,"4,453,337","1,898",Winfield Scott Hancock,Dem.,80.50%
44,1960,John Kennedy,Dem.,303/537,56.42%,49.72%,0.17%,"34,220,984","112,827",Richard Nixon,Rep.,63.80%
25,1884,Grover Cleveland,Dem.,219/401,54.61%,48.85%,0.57%,"4,914,482","57,579",James Blaine,Rep.,78.20%
46,1968,Richard Nixon,Rep.,301/538,55.95%,43.42%,0.70%,"31,783,783","511,944",Hubert Humphrey,Dem.,62.50%
15,1844,James Polk,Dem.,170/275,61.82%,49.54%,1.45%,"1,339,570","39,413",Henry Clay,Whig,79.20%
48,1976,Jimmy Carter,Dem.,297/538,55.20%,50.08%,2.06%,"40,831,881","1,683,247",Gerald Ford,Rep.,54.80%
55,2004,George W. Bush,Rep.,286/538,53.16%,50.73%,2.46%,"62,040,610","3,012,171",John Kerry,Dem.,60.10%
27,1892,Grover Cleveland,Dem.,277/444,62.39%,46.02%,3.01%,"5,553,898","363,099",Benjamin Harrison,Rep.,75.80%
33,1916,Woodrow Wilson,Dem.,277/531,52.17%,49.24%,3.12%,"9,126,868","578,140",Charles Evans Hughes,Rep.,61.80%
57,2012,Barack Obama,Dem.,332/538,61.71%,51.06%,3.86%,"65,915,795","4,982,291",Mitt Romney,Rep.,58.60%
28,1896,William McKinley,Rep.,271/447,60.63%,51.02%,4.31%,"7,112,138","601,331",William Jennings Bryan,Dem.,79.60%
41,1948,Harry Truman,Dem.,303/531,57.06%,49.55%,4.48%,"24,179,347","2,188,055",Thomas Dewey,Rep.,52.20%
16,1848,Zachary Taylor,Whig,163/290,56.21%,47.28%,4.79%,"1,360,235","137,882",Lewis Cass,Dem.,72.80%
21,1868,Ulysses Grant,Rep.,214/294,72.79%,52.66%,5.32%,"3,013,790","304,810",Horatio Seymour,Dem.,80.90%
52,1992,Bill Clinton,Dem.,370/538,68.77%,43.01%,5.56%,"44,909,806","5,805,256",George H. W. Bush,Rep.,58.10%
14,1840,William Henry Harrison,Whig,234/294,79.59%,52.87%,6.05%,"1,275,583","145,938",Martin Van Buren,Dem.,80.30%
29,1900,William McKinley,Rep.,292/447,65.23%,51.64%,6.12%,"7,228,864","857,932",William Jennings Bryan,Dem.,73.70%
17,1852,Franklin Pierce,Dem.,254/296,85.81%,50.83%,6.95%,"1,605,943","219,525",Winfield Scott,Whig,69.50%
56,2008,Barack Obama,Dem.,365/538,67.84%,52.93%,7.27%,"69,498,516","9,550,193",John McCain,Rep.,61.60%
40,1944,Franklin Roosevelt,Dem.,432/531,81.36%,53.39%,7.50%,"25,612,916","3,594,987",Thomas Dewey,Rep.,55.90%
51,1988,George H. W. Bush,Rep.,426/538,79.18%,53.37%,7.72%,"48,886,597","7,077,121",Michael Dukakis,Dem.,52.80%
53,1996,Bill Clinton,Dem.,379/538,70.45%,49.23%,8.51%,"47,400,125","8,201,370",Bob Dole,Rep.,51.70%
31,1908,William Taft,Rep.,321/483,66.46%,51.57%,8.53%,"7,678,335","1,269,356",William Jennings Bryan,Dem.,65.70%
49,1980,Ronald Reagan,Rep.,489/538,90.89%,50.75%,9.74%,"43,903,230","8,423,115",Jimmy Carter,Dem.,54.20%
39,1940,Franklin Roosevelt,Dem.,449/531,84.56%,54.74%,9.96%,"27,313,945","4,966,201",Wendell Willkie,Rep.,62.40%
20,1864,Abraham Lincoln,Rep.,212/233,90.99%,55.03%,10.08%,"2,211,317","405,090",George McClellan,Dem.,76.30%
