id,neighbourhood,room_type,accommodates,bathrooms,bedrooms,beds,price
1,Downtown,Entire home/apt,5,2 baths,2,2,150
2,Downtown Eastside,Entire home/apt,4,2 baths,2,2,132
3,West End,Entire home/apt,2,1 bath,1,1,85
4,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,0,146
5,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,1,2,110
6,Hastings-Sunrise,Entire home/apt,4,1 bath,2,3,195
7,Renfrew-Collingwood,Entire home/apt,8,3 baths,4,5,130
8,Mount Pleasant,Entire home/apt,2,1 bath,1,1,94
9,Grandview-Woodland,Private room,2,1 private bath,1,1,79
10,West End,Private room,2,1 private bath,1,1,75
11,Fairview,Entire home/apt,2,1 bath,1,1,154
12,Kensington-Cedar Cottage,Entire home/apt,3,1 bath,2,2,69
13,Renfrew-Collingwood,Private room,2,1 private bath,1,1,65
14,Renfrew-Collingwood,Entire home/apt,2,1 bath,1,1,75
15,Marpole,Private room,2,1.5 baths,1,2,150
16,Kitsilano,Entire home/apt,6,1 bath,2,3,200
17,Downtown,Entire home/apt,4,1 bath,1,2,159
18,Riley Park,Entire home/apt,4,1 bath,1,2,155
19,Downtown,Entire home/apt,4,2 baths,2,2,200
20,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,88
21,Downtown,Entire home/apt,4,1 bath,1,2,169
22,Renfrew-Collingwood,Entire home/apt,2,1 bath,1,1,100
23,Downtown,Entire home/apt,4,1 bath,1,1,139
24,Downtown Eastside,Entire home/apt,4,1.5 baths,2,2,200
25,Grandview-Woodland,Entire home/apt,4,1 bath,2,2,210
26,Downtown,Entire home/apt,3,1 bath,1,1,130
27,Arbutus Ridge,Private room,3,1 private bath,1,2,150
28,Downtown,Entire home/apt,2,1 bath,1,1,110
29,Riley Park,Entire home/apt,2,1 bath,1,2,75
30,Grandview-Woodland,Entire home/apt,3,1 bath,2,2,125
31,Grandview-Woodland,Private room,2,1.5 shared baths,1,1,60
32,Riley Park,Private room,3,1 private bath,1,0,100
33,Renfrew-Collingwood,Private room,1,1 shared bath,1,1,45
34,Renfrew-Collingwood,Private room,2,1 shared bath,1,1,40
35,Dunbar Southlands,Entire home/apt,6,2 baths,3,3,175
36,West End,Entire home/apt,4,2 baths,2,2,300
37,Downtown Eastside,Entire home/apt,2,1 bath,1,2,100
38,Kitsilano,Entire home/apt,4,1 bath,1,1,135
39,Grandview-Woodland,Entire home/apt,5,2.5 baths,3,3,250
40,Kitsilano,Entire home/apt,4,1 bath,2,2,200
41,Downtown,Entire home/apt,2,1 bath,1,0,142
42,Downtown,Entire home/apt,4,1 bath,1,2,210
43,Grandview-Woodland,Entire home/apt,3,1 bath,2,0,100
44,Downtown Eastside,Entire home/apt,2,1 bath,1,1,198
45,Kitsilano,Entire home/apt,7,1 bath,2,4,300
46,Kensington-Cedar Cottage,Private room,4,1.5 baths,1,2,65
47,Downtown,Entire home/apt,4,1 bath,1,2,99
48,Downtown,Entire home/apt,2,1 bath,1,1,130
49,Downtown,Entire home/apt,6,3 baths,3,3,197
50,Renfrew-Collingwood,Private room,2,1 private bath,1,1,70
51,Downtown,Private room,2,1 shared bath,2,1,249
