region,category,language,mother_tongue,most_at_home,most_at_work,lang_known
St. John's,Aboriginal languages,"Aboriginal languages, n.o.s.",5,0,0,0
Halifax,Aboriginal languages,"Aboriginal languages, n.o.s.",5,0,0,0
Moncton,Aboriginal languages,"Aboriginal languages, n.o.s.",0,0,0,0
Saint John,Aboriginal languages,"Aboriginal languages, n.o.s.",0,0,0,0
Saguenay,Aboriginal languages,"Aboriginal languages, n.o.s.",5,5,0,0
Québec,Aboriginal languages,"Aboriginal languages, n.o.s.",0,5,0,20
Sherbrooke,Aboriginal languages,"Aboriginal languages, n.o.s.",0,0,0,0
Trois-Rivières,Aboriginal languages,"Aboriginal languages, n.o.s.",0,0,0,0
Montréal,Aboriginal languages,"Aboriginal languages, n.o.s.",30,15,0,10
Kingston,Aboriginal languages,"Aboriginal languages, n.o.s.",0,0,0,0
Belleville,Aboriginal languages,"Aboriginal languages, n.o.s.",0,0,0,0
Peterborough,Aboriginal languages,"Aboriginal languages, n.o.s.",0,0,0,10
Oshawa,Aboriginal languages,"Aboriginal languages, n.o.s.",5,0,0,0
Toronto,Aboriginal languages,"Aboriginal languages, n.o.s.",80,50,0,25
Hamilton,Aboriginal languages,"Aboriginal languages, n.o.s.",10,0,0,10
St. Catharines - Niagara,Aboriginal languages,"Aboriginal languages, n.o.s.",10,0,0,20
Kitchener - Cambridge - Waterloo,Aboriginal languages,"Aboriginal languages, n.o.s.",5,5,0,0
Brantford,Aboriginal languages,"Aboriginal languages, n.o.s.",5,0,0,0
Guelph,Aboriginal languages,"Aboriginal languages, n.o.s.",0,0,0,0
London,Aboriginal languages,"Aboriginal languages, n.o.s.",10,0,0,0
Windsor,Aboriginal languages,"Aboriginal languages, n.o.s.",15,15,0,0
Barrie,Aboriginal languages,"Aboriginal languages, n.o.s.",0,0,0,0
Greater Sudbury,Aboriginal languages,"Aboriginal languages, n.o.s.",5,0,0,0
Thunder Bay,Aboriginal languages,"Aboriginal languages, n.o.s.",10,0,0,0
Winnipeg,Aboriginal languages,"Aboriginal languages, n.o.s.",5,0,0,20
Regina,Aboriginal languages,"Aboriginal languages, n.o.s.",5,0,0,20
Saskatoon,Aboriginal languages,"Aboriginal languages, n.o.s.",0,0,0,0
Lethbridge,Aboriginal languages,"Aboriginal languages, n.o.s.",0,0,0,0
Calgary,Aboriginal languages,"Aboriginal languages, n.o.s.",20,5,0,15
Edmonton,Aboriginal languages,"Aboriginal languages, n.o.s.",25,10,0,0
Ottawa - Gatineau,Aboriginal languages,"Aboriginal languages, n.o.s.",10,0,0,0
Kelowna,Aboriginal languages,"Aboriginal languages, n.o.s.",0,0,0,10
Abbotsford - Mission,Aboriginal languages,"Aboriginal languages, n.o.s.",5,5,0,0
Vancouver,Aboriginal languages,"Aboriginal languages, n.o.s.",70,15,0,35
Victoria,Aboriginal languages,"Aboriginal languages, n.o.s.",10,0,0,25
St. John's,Non-Official & Non-Aboriginal languages,Afrikaans,25,0,0,40
Halifax,Non-Official & Non-Aboriginal languages,Afrikaans,75,20,0,245
Moncton,Non-Official & Non-Aboriginal languages,Afrikaans,20,10,0,50
Saint John,Non-Official & Non-Aboriginal languages,Afrikaans,5,0,0,20
Saguenay,Non-Official & Non-Aboriginal languages,Afrikaans,0,0,0,0
Québec,Non-Official & Non-Aboriginal languages,Afrikaans,10,0,0,25
Sherbrooke,Non-Official & Non-Aboriginal languages,Afrikaans,0,0,0,0
Trois-Rivières,Non-Official & Non-Aboriginal languages,Afrikaans,0,0,0,0
Montréal,Non-Official & Non-Aboriginal languages,Afrikaans,90,10,0,300
Kingston,Non-Official & Non-Aboriginal languages,Afrikaans,40,20,0,80
Belleville,Non-Official & Non-Aboriginal languages,Afrikaans,5,0,0,10
Peterborough,Non-Official & Non-Aboriginal languages,Afrikaans,15,0,0,55
Oshawa,Non-Official & Non-Aboriginal languages,Afrikaans,80,30,0,215
Toronto,Non-Official & Non-Aboriginal languages,Afrikaans,985,265,0,4260
Hamilton,Non-Official & Non-Aboriginal languages,Afrikaans,215,95,0,600
St. Catharines - Niagara,Non-Official & Non-Aboriginal languages,Afrikaans,120,45,0,205
Kitchener - Cambridge - Waterloo,Non-Official & Non-Aboriginal languages,Afrikaans,105,35,0,230
Brantford,Non-Official & Non-Aboriginal languages,Afrikaans,20,15,0,45
Guelph,Non-Official & Non-Aboriginal languages,Afrikaans,30,5,0,85
London,Non-Official & Non-Aboriginal languages,Afrikaans,80,25,0,195
Windsor,Non-Official & Non-Aboriginal languages,Afrikaans,25,5,0,110
Barrie,Non-Official & Non-Aboriginal languages,Afrikaans,50,20,0,100
Greater Sudbury,Non-Official & Non-Aboriginal languages,Afrikaans,20,0,0,40
Thunder Bay,Non-Official & Non-Aboriginal languages,Afrikaans,10,5,0,25
Winnipeg,Non-Official & Non-Aboriginal languages,Afrikaans,175,65,0,290
Regina,Non-Official & Non-Aboriginal languages,Afrikaans,145,85,0,300
Saskatoon,Non-Official & Non-Aboriginal languages,Afrikaans,210,115,0,400
Lethbridge,Non-Official & Non-Aboriginal languages,Afrikaans,90,45,0,120
Calgary,Non-Official & Non-Aboriginal languages,Afrikaans,960,505,15,1955
Edmonton,Non-Official & Non-Aboriginal languages,Afrikaans,575,300,0,1220
Ottawa - Gatineau,Non-Official & Non-Aboriginal languages,Afrikaans,175,40,0,450
Kelowna,Non-Official & Non-Aboriginal languages,Afrikaans,175,75,0,280
Abbotsford - Mission,Non-Official & Non-Aboriginal languages,Afrikaans,135,75,0,285
Vancouver,Non-Official & Non-Aboriginal languages,Afrikaans,1435,520,10,4225
Victoria,Non-Official & Non-Aboriginal languages,Afrikaans,175,50,0,580
St. John's,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,30
Halifax,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,0
Moncton,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,0
Saint John,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,10
Saguenay,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,0
Québec,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",30,10,0,75
Sherbrooke,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",40,15,0,10
Trois-Rivières,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,0
Montréal,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",240,65,0,615
Kingston,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",5,0,0,10
Belleville,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,0
Peterborough,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,0
Oshawa,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,30
Toronto,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",360,185,10,720
Hamilton,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",55,30,0,65
St. Catharines - Niagara,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",5,5,0,15
Kitchener - Cambridge - Waterloo,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",5,5,0,40
Brantford,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,0
Guelph,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",5,0,0,0
London,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",15,0,0,50
Windsor,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",10,0,0,10
Barrie,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",5,0,0,0
Greater Sudbury,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,0
Thunder Bay,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",5,0,0,10
Winnipeg,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",60,20,0,125
Regina,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,25
Saskatoon,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",20,0,0,20
Lethbridge,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,0
Calgary,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",45,15,0,170
Edmonton,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",65,20,0,155
Ottawa - Gatineau,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",80,20,0,205
Kelowna,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",5,0,0,0
Abbotsford - Mission,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,10
Vancouver,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",45,10,0,95
Victoria,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",0,0,0,20
St. John's,Non-Official & Non-Aboriginal languages,Akan (Twi),25,5,0,60
Halifax,Non-Official & Non-Aboriginal languages,Akan (Twi),35,5,0,35
Moncton,Non-Official & Non-Aboriginal languages,Akan (Twi),0,0,0,0
Saint John,Non-Official & Non-Aboriginal languages,Akan (Twi),15,5,0,25
Saguenay,Non-Official & Non-Aboriginal languages,Akan (Twi),0,0,0,0
Québec,Non-Official & Non-Aboriginal languages,Akan (Twi),0,0,0,10
Sherbrooke,Non-Official & Non-Aboriginal languages,Akan (Twi),0,0,0,10
Trois-Rivières,Non-Official & Non-Aboriginal languages,Akan (Twi),0,0,0,0
Montréal,Non-Official & Non-Aboriginal languages,Akan (Twi),1015,440,0,1710
Kingston,Non-Official & Non-Aboriginal languages,Akan (Twi),25,15,0,80
Belleville,Non-Official & Non-Aboriginal languages,Akan (Twi),0,0,0,0
Peterborough,Non-Official & Non-Aboriginal languages,Akan (Twi),5,0,0,0
Oshawa,Non-Official & Non-Aboriginal languages,Akan (Twi),95,25,0,185
Toronto,Non-Official & Non-Aboriginal languages,Akan (Twi),8485,4045,20,13715
Hamilton,Non-Official & Non-Aboriginal languages,Akan (Twi),255,90,0,515
St. Catharines - Niagara,Non-Official & Non-Aboriginal languages,Akan (Twi),80,10,0,150
Kitchener - Cambridge - Waterloo,Non-Official & Non-Aboriginal languages,Akan (Twi),65,15,0,85
Brantford,Non-Official & Non-Aboriginal languages,Akan (Twi),30,15,0,15
Guelph,Non-Official & Non-Aboriginal languages,Akan (Twi),25,15,0,30
London,Non-Official & Non-Aboriginal languages,Akan (Twi),70,10,0,155
Windsor,Non-Official & Non-Aboriginal languages,Akan (Twi),80,25,0,130
Barrie,Non-Official & Non-Aboriginal languages,Akan (Twi),20,10,0,65
Greater Sudbury,Non-Official & Non-Aboriginal languages,Akan (Twi),10,5,0,30
Thunder Bay,Non-Official & Non-Aboriginal languages,Akan (Twi),20,0,0,35
Winnipeg,Non-Official & Non-Aboriginal languages,Akan (Twi),130,45,0,210
Regina,Non-Official & Non-Aboriginal languages,Akan (Twi),60,20,0,180
Saskatoon,Non-Official & Non-Aboriginal languages,Akan (Twi),80,25,0,105
Lethbridge,Non-Official & Non-Aboriginal languages,Akan (Twi),30,20,0,85
Calgary,Non-Official & Non-Aboriginal languages,Akan (Twi),705,330,0,1150
Edmonton,Non-Official & Non-Aboriginal languages,Akan (Twi),885,445,0,1435
Ottawa - Gatineau,Non-Official & Non-Aboriginal languages,Akan (Twi),390,130,0,700
Kelowna,Non-Official & Non-Aboriginal languages,Akan (Twi),5,0,0,30
Abbotsford - Mission,Non-Official & Non-Aboriginal languages,Akan (Twi),15,0,0,15
Vancouver,Non-Official & Non-Aboriginal languages,Akan (Twi),400,125,10,495
Victoria,Non-Official & Non-Aboriginal languages,Akan (Twi),20,0,0,0
St. John's,Non-Official & Non-Aboriginal languages,Albanian,80,30,0,130
Halifax,Non-Official & Non-Aboriginal languages,Albanian,250,110,0,380
Moncton,Non-Official & Non-Aboriginal languages,Albanian,15,5,0,30
Saint John,Non-Official & Non-Aboriginal languages,Albanian,5,5,0,0
Saguenay,Non-Official & Non-Aboriginal languages,Albanian,0,0,0,0
Québec,Non-Official & Non-Aboriginal languages,Albanian,210,100,0,285
Sherbrooke,Non-Official & Non-Aboriginal languages,Albanian,20,10,10,25
Trois-Rivières,Non-Official & Non-Aboriginal languages,Albanian,0,0,0,0
Montréal,Non-Official & Non-Aboriginal languages,Albanian,2450,1445,20,2880
Kingston,Non-Official & Non-Aboriginal languages,Albanian,25,5,0,50
Belleville,Non-Official & Non-Aboriginal languages,Albanian,0,0,0,0
Peterborough,Non-Official & Non-Aboriginal languages,Albanian,75,25,0,85
Oshawa,Non-Official & Non-Aboriginal languages,Albanian,95,45,0,115
Toronto,Non-Official & Non-Aboriginal languages,Albanian,13260,6380,215,15375
Hamilton,Non-Official & Non-Aboriginal languages,Albanian,1440,740,35,1780
St. Catharines - Niagara,Non-Official & Non-Aboriginal languages,Albanian,165,75,0,185
Kitchener - Cambridge - Waterloo,Non-Official & Non-Aboriginal languages,Albanian,985,540,25,1050
Brantford,Non-Official & Non-Aboriginal languages,Albanian,30,20,0,65
Guelph,Non-Official & Non-Aboriginal languages,Albanian,55,40,0,40
London,Non-Official & Non-Aboriginal languages,Albanian,1085,485,0,1200
Windsor,Non-Official & Non-Aboriginal languages,Albanian,950,460,0,1315
Barrie,Non-Official & Non-Aboriginal languages,Albanian,65,30,0,55
Greater Sudbury,Non-Official & Non-Aboriginal languages,Albanian,0,5,0,10
Thunder Bay,Non-Official & Non-Aboriginal languages,Albanian,0,0,0,0
Winnipeg,Non-Official & Non-Aboriginal languages,Albanian,305,150,0,380
Regina,Non-Official & Non-Aboriginal languages,Albanian,190,110,0,300
Saskatoon,Non-Official & Non-Aboriginal languages,Albanian,85,45,0,140
Lethbridge,Non-Official & Non-Aboriginal languages,Albanian,60,10,0,55
Calgary,Non-Official & Non-Aboriginal languages,Albanian,1365,620,25,1735
Edmonton,Non-Official & Non-Aboriginal languages,Albanian,770,370,10,885
Ottawa - Gatineau,Non-Official & Non-Aboriginal languages,Albanian,710,320,0,865
Kelowna,Non-Official & Non-Aboriginal languages,Albanian,30,10,0,20
Abbotsford - Mission,Non-Official & Non-Aboriginal languages,Albanian,80,25,0,140
Vancouver,Non-Official & Non-Aboriginal languages,Albanian,1090,530,10,1135
Victoria,Non-Official & Non-Aboriginal languages,Albanian,125,70,0,145
St. John's,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Halifax,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Moncton,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Saint John,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Saguenay,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Québec,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Sherbrooke,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Trois-Rivières,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Montréal,Aboriginal languages,"Algonquian languages, n.i.e.",5,0,0,10
Kingston,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Belleville,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Peterborough,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Oshawa,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Toronto,Aboriginal languages,"Algonquian languages, n.i.e.",5,5,0,10
Hamilton,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
St. Catharines - Niagara,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Kitchener - Cambridge - Waterloo,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Brantford,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Guelph,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
London,Aboriginal languages,"Algonquian languages, n.i.e.",5,0,0,10
Windsor,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Barrie,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Greater Sudbury,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Thunder Bay,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Winnipeg,Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
