"region","category","language","type","count"
"Montréal","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_home",15
"Montréal","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_work",0
"Toronto","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_home",50
"Toronto","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_work",0
"Calgary","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_home",5
"Calgary","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_work",0
"Edmonton","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_home",10
"Edmonton","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_work",0
"Vancouver","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_home",15
"Vancouver","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_home",10
"Montréal","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_home",265
"Toronto","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_home",505
"Calgary","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_work",15
"Edmonton","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_home",300
"Edmonton","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_home",520
"Vancouver","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_work",10
"Montréal","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_home",65
"Montréal","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_home",185
"Toronto","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_work",10
"Calgary","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_home",15
"Calgary","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_home",20
"Edmonton","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_home",10
"Vancouver","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_home",440
"Montréal","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_home",4045
"Toronto","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_work",20
"Calgary","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_home",330
"Calgary","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_home",445
"Edmonton","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_home",125
"Vancouver","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_work",10
"Montréal","Non-Official & Non-Aboriginal languages","Albanian","most_at_home",1445
"Montréal","Non-Official & Non-Aboriginal languages","Albanian","most_at_work",20
"Toronto","Non-Official & Non-Aboriginal languages","Albanian","most_at_home",6380
"Toronto","Non-Official & Non-Aboriginal languages","Albanian","most_at_work",215
"Calgary","Non-Official & Non-Aboriginal languages","Albanian","most_at_home",620
"Calgary","Non-Official & Non-Aboriginal languages","Albanian","most_at_work",25
"Edmonton","Non-Official & Non-Aboriginal languages","Albanian","most_at_home",370
"Edmonton","Non-Official & Non-Aboriginal languages","Albanian","most_at_work",10
"Vancouver","Non-Official & Non-Aboriginal languages","Albanian","most_at_home",530
"Vancouver","Non-Official & Non-Aboriginal languages","Albanian","most_at_work",10
"Montréal","Aboriginal languages","Algonquian languages, n.i.e.","most_at_home",0
"Montréal","Aboriginal languages","Algonquian languages, n.i.e.","most_at_work",0
"Toronto","Aboriginal languages","Algonquian languages, n.i.e.","most_at_home",5
"Toronto","Aboriginal languages","Algonquian languages, n.i.e.","most_at_work",0
"Calgary","Aboriginal languages","Algonquian languages, n.i.e.","most_at_home",0
"Calgary","Aboriginal languages","Algonquian languages, n.i.e.","most_at_work",0
"Edmonton","Aboriginal languages","Algonquian languages, n.i.e.","most_at_home",0
"Edmonton","Aboriginal languages","Algonquian languages, n.i.e.","most_at_work",0
"Vancouver","Aboriginal languages","Algonquian languages, n.i.e.","most_at_home",0
"Vancouver","Aboriginal languages","Algonquian languages, n.i.e.","most_at_work",0
"Montréal","Aboriginal languages","Algonquin","most_at_home",10
"Montréal","Aboriginal languages","Algonquin","most_at_work",0
"Toronto","Aboriginal languages","Algonquin","most_at_home",0
"Toronto","Aboriginal languages","Algonquin","most_at_work",0
"Calgary","Aboriginal languages","Algonquin","most_at_home",0
"Calgary","Aboriginal languages","Algonquin","most_at_work",0
"Edmonton","Aboriginal languages","Algonquin","most_at_home",0
"Edmonton","Aboriginal languages","Algonquin","most_at_work",0
"Vancouver","Aboriginal languages","Algonquin","most_at_home",0
"Vancouver","Aboriginal languages","Algonquin","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_home",70
"Montréal","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_home",720
"Toronto","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_work",245
"Calgary","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_home",85
"Calgary","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_work",25
"Edmonton","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_home",190
"Edmonton","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_work",85
"Vancouver","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_home",300
"Vancouver","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_work",140
"Montréal","Non-Official & Non-Aboriginal languages","Amharic","most_at_home",315
"Montréal","Non-Official & Non-Aboriginal languages","Amharic","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Amharic","most_at_home",3820
"Toronto","Non-Official & Non-Aboriginal languages","Amharic","most_at_work",55
"Calgary","Non-Official & Non-Aboriginal languages","Amharic","most_at_home",2730
"Calgary","Non-Official & Non-Aboriginal languages","Amharic","most_at_work",50
"Edmonton","Non-Official & Non-Aboriginal languages","Amharic","most_at_home",1695
"Edmonton","Non-Official & Non-Aboriginal languages","Amharic","most_at_work",35
"Vancouver","Non-Official & Non-Aboriginal languages","Amharic","most_at_home",540
"Vancouver","Non-Official & Non-Aboriginal languages","Amharic","most_at_work",10
"Montréal","Non-Official & Non-Aboriginal languages","Arabic","most_at_home",72980
"Montréal","Non-Official & Non-Aboriginal languages","Arabic","most_at_work",1590
"Toronto","Non-Official & Non-Aboriginal languages","Arabic","most_at_home",45025
"Toronto","Non-Official & Non-Aboriginal languages","Arabic","most_at_work",1165
"Calgary","Non-Official & Non-Aboriginal languages","Arabic","most_at_home",11010
"Calgary","Non-Official & Non-Aboriginal languages","Arabic","most_at_work",240
"Edmonton","Non-Official & Non-Aboriginal languages","Arabic","most_at_home",10590
"Edmonton","Non-Official & Non-Aboriginal languages","Arabic","most_at_work",325
"Vancouver","Non-Official & Non-Aboriginal languages","Arabic","most_at_home",8680
"Vancouver","Non-Official & Non-Aboriginal languages","Arabic","most_at_work",275
"Montréal","Non-Official & Non-Aboriginal languages","Armenian","most_at_home",11835
"Montréal","Non-Official & Non-Aboriginal languages","Armenian","most_at_work",280
"Toronto","Non-Official & Non-Aboriginal languages","Armenian","most_at_home",7475
"Toronto","Non-Official & Non-Aboriginal languages","Armenian","most_at_work",140
"Calgary","Non-Official & Non-Aboriginal languages","Armenian","most_at_home",110
"Calgary","Non-Official & Non-Aboriginal languages","Armenian","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Armenian","most_at_home",75
"Edmonton","Non-Official & Non-Aboriginal languages","Armenian","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Armenian","most_at_home",505
"Vancouver","Non-Official & Non-Aboriginal languages","Armenian","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_home",95
"Montréal","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_work",10
