"category","language","Toronto","Montréal","Vancouver","Calgary","Edmonton"
"Aboriginal languages","Aboriginal languages, n.o.s.","50/0","15/0","15/0","5/0","10/0"
"Non-Official & Non-Aboriginal languages","Afrikaans","265/0","10/0","520/10","505/15","300/0"
"Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","185/10","65/0","10/0","15/0","20/0"
"Non-Official & Non-Aboriginal languages","Akan (Twi)","4045/20","440/0","125/10","330/0","445/0"
"Non-Official & Non-Aboriginal languages","Albanian","6380/215","1445/20","530/10","620/25","370/10"
"Aboriginal languages","Algonquian languages, n.i.e.","5/0","0/0","0/0","0/0","0/0"
"Aboriginal languages","Algonquin","0/0","10/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","American Sign Language","720/245","70/0","300/140","85/25","190/85"
"Non-Official & Non-Aboriginal languages","Amharic","3820/55","315/0","540/10","2730/50","1695/35"
"Non-Official & Non-Aboriginal languages","Arabic","45025/1165","72980/1590","8680/275","11010/240","10590/325"
"Non-Official & Non-Aboriginal languages","Armenian","7475/140","11835/280","505/0","110/0","75/0"
"Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","6790/110","95/10","400/25","200/10","40/0"
"Aboriginal languages","Athabaskan languages, n.i.e.","5/0","0/0","0/0","0/0","0/0"
"Aboriginal languages","Atikamekw","0/0","5/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","35/0","5/0","15/0","5/0","0/0"
"Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","280/10","55/10","260/20","145/0","85/0"
"Non-Official & Non-Aboriginal languages","Azerbaijani","650/15","95/10","185/10","100/0","50/0"
"Aboriginal languages","Babine (Wetsuwet'en)","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Bamanankan","15/0","220/10","5/0","5/0","0/0"
"Aboriginal languages","Beaver","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Belarusan","125/0","20/0","10/0","0/0","10/0"
"Non-Official & Non-Aboriginal languages","Bengali","24610/295","8080/105","1570/15","2750/15","1460/15"
"Non-Official & Non-Aboriginal languages","Berber languages, n.i.e.","30/0","2220/15","20/0","35/0","45/0"
"Non-Official & Non-Aboriginal languages","Bikol","85/0","15/0","65/0","45/0","15/0"
"Non-Official & Non-Aboriginal languages","Bilen","45/0","5/0","5/0","45/0","210/0"
"Aboriginal languages","Blackfoot","0/0","0/0","0/0","60/0","10/0"
"Non-Official & Non-Aboriginal languages","Bosnian","1330/45","260/0","545/0","395/15","305/10"
"Non-Official & Non-Aboriginal languages","Bulgarian","3860/110","4750/45","925/10","480/0","290/0"
"Non-Official & Non-Aboriginal languages","Burmese","570/10","20/0","690/20","175/15","100/0"
"Non-Official & Non-Aboriginal languages","Cantonese","182750/25340","17330/2615","132185/22890","22245/2845","14695/1475"
"Aboriginal languages","Carrier","0/0","0/0","5/0","0/0","5/0"
"Non-Official & Non-Aboriginal languages","Catalan","80/10","90/10","60/0","20/0","10/0"
"Aboriginal languages","Cayuga","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Cebuano","1880/25","215/0","1085/10","865/0","810/0"
"Non-Official & Non-Aboriginal languages","Celtic languages, n.i.e.","25/10","15/0","5/0","5/0","5/0"
"Non-Official & Non-Aboriginal languages","Chaldean Neo-Aramaic","1095/10","10/0","305/0","75/0","15/0"
"Aboriginal languages","Chilcotin","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Chinese languages, n.i.e.","85/0","40/0","105/0","5/0","10/0"
"Non-Official & Non-Aboriginal languages","Chinese, n.o.s.","6885/915","2160/210","5045/845","1605/125","1440/95"
"Aboriginal languages","Comox","0/0","5/0","0/0","0/0","0/0"
"Aboriginal languages","Cree, n.o.s.","10/0","65/10","15/10","60/0","330/10"
"Non-Official & Non-Aboriginal languages","Creole languages, n.i.e.","775/10","420/0","75/0","65/0","145/0"
"Non-Official & Non-Aboriginal languages","Creole, n.o.s.","1950/20","18775/245","205/0","220/0","380/0"
"Non-Official & Non-Aboriginal languages","Croatian","5945/90","780/10","1795/30","745/15","895/0"
"Non-Official & Non-Aboriginal languages","Cushitic languages, n.i.e.","30/0","5/0","5/0","5/0","10/0"
"Non-Official & Non-Aboriginal languages","Czech","1415/10","380/10","1030/20","425/0","255/0"
"Aboriginal languages","Dakota","5/0","0/0","10/0","10/0","20/0"
"Non-Official & Non-Aboriginal languages","Danish","140/15","40/10","180/10","70/0","45/0"
"Aboriginal languages","Dene","0/0","0/0","10/0","10/0","10/0"
"Non-Official & Non-Aboriginal languages","Dinka","10/0","0/0","40/0","445/0","205/0"
"Aboriginal languages","Dogrib (Tlicho)","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Dravidian languages, n.i.e.","95/0","5/0","15/0","20/0","10/0"
"Non-Official & Non-Aboriginal languages","Dutch","650/65","245/20","690/70","490/0","275/20"
"Non-Official & Non-Aboriginal languages","Edo","290/0","10/0","15/0","25/0","35/0"
"Official languages","English","3836770/3218725","620510/412120","1622735/1330555","1065070/844740","1050410/792700"
"Non-Official & Non-Aboriginal languages","Estonian","650/50","25/0","75/0","15/0","5/0"
"Non-Official & Non-Aboriginal languages","Ewe","95/0","90/0","15/0","15/0","40/0"
"Non-Official & Non-Aboriginal languages","Fijian","10/0","0/0","100/0","20/0","25/0"
"Non-Official & Non-Aboriginal languages","Finnish","510/45","40/0","430/20","50/0","30/0"
"Official languages","French","29800/11940","2669195/1607550","8630/3245","8630/2140","10950/2520"
"Non-Official & Non-Aboriginal languages","Frisian","5/0","0/0","5/0","5/0","5/0"
"Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)","75/0","445/0","0/0","45/0","55/0"
"Non-Official & Non-Aboriginal languages","Ga","145/0","15/0","0/0","20/0","15/0"
"Non-Official & Non-Aboriginal languages","Ganda","155/20","0/0","5/0","5/0","80/0"
"Non-Official & Non-Aboriginal languages","Georgian","745/10","70/10","15/0","80/0","55/0"
"Non-Official & Non-Aboriginal languages","German","3585/240","1585/205","2895/210","1540/75","2315/65"
"Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.","10/0","10/0","5/0","5/0","5/0"
"Aboriginal languages","Gitxsan (Gitksan)","0/0","0/0","10/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Greek","16945/340","18255/515","1730/60","500/10","375/0"
"Non-Official & Non-Aboriginal languages","Gujarati","38270/615","3805/20","2740/40","3125/20","3650/60"
"Aboriginal languages","Gwich'in","5/0","0/0","0/0","5/0","0/0"
"Aboriginal languages","Haida","0/0","0/0","5/0","0/0","0/0"
"Aboriginal languages","Haisla","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Haitian Creole","120/0","780/10","0/0","5/0","40/0"
"Non-Official & Non-Aboriginal languages","Hakka","2725/30","155/0","670/10","95/0","215/10"
"Aboriginal languages","Halkomelem","0/0","0/0","5/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Harari","520/0","0/0","10/0","45/0","110/0"
"Non-Official & Non-Aboriginal languages","Hebrew","4395/360","1680/140","785/75","260/25","190/20"
"Aboriginal languages","Heiltsuk","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Hiligaynon","780/10","125/0","360/10","205/10","195/10"
"Non-Official & Non-Aboriginal languages","Hindi","23995/740","1485/35","11235/265","4130/105","5095/105"
"Non-Official & Non-Aboriginal languages","Hmong-Mien languages","5/0","10/10","55/0","60/0","10/0"
"Non-Official & Non-Aboriginal languages","Hungarian","7880/220","1815/40","1470/15","1310/55","475/15"
"Non-Official & Non-Aboriginal languages","Icelandic","20/0","30/0","50/0","15/0","15/0"
"Non-Official & Non-Aboriginal languages","Igbo","410/0","10/0","35/0","135/0","80/0"
"Non-Official & Non-Aboriginal languages","Ilocano","3450/35","740/10","1465/30","1025/15","605/15"
"Non-Official & Non-Aboriginal languages","Indo-Iranian languages, n.i.e.","770/10","145/0","175/0","505/10","115/0"
"Aboriginal languages","Inuinnaqtun (Inuvialuktun)","0/0","0/0","0/0","0/0","0/0"
"Aboriginal languages","Inuit languages, n.i.e.","0/0","10/0","0/0","5/0","5/0"
"Aboriginal languages","Inuktitut","10/0","70/30","0/0","0/0","5/0"
"Aboriginal languages","Iroquoian languages, n.i.e.","0/0","0/0","0/0","0/0","0/0"
