"","region","category","language","type","count"
"1","Toronto","Aboriginal languages","Aboriginal languages, n.o.s.","mother_tongue",80
"2","Toronto","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_home",50
"3","Toronto","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_work",0
"4","Toronto","Aboriginal languages","Aboriginal languages, n.o.s.","lang_known",25
"5","Calgary","Aboriginal languages","Aboriginal languages, n.o.s.","mother_tongue",20
"6","Calgary","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_home",5
"7","Calgary","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_work",0
"8","Calgary","Aboriginal languages","Aboriginal languages, n.o.s.","lang_known",15
"9","Edmonton","Aboriginal languages","Aboriginal languages, n.o.s.","mother_tongue",25
"10","Edmonton","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_home",10
"11","Edmonton","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_work",0
"12","Edmonton","Aboriginal languages","Aboriginal languages, n.o.s.","lang_known",0
"13","Vancouver","Aboriginal languages","Aboriginal languages, n.o.s.","mother_tongue",70
"14","Vancouver","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_home",15
"15","Vancouver","Aboriginal languages","Aboriginal languages, n.o.s.","most_at_work",0
"16","Vancouver","Aboriginal languages","Aboriginal languages, n.o.s.","lang_known",35
"17","Toronto","Non-Official & Non-Aboriginal languages","Afrikaans","mother_tongue",985
"18","Toronto","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_home",265
"19","Toronto","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_work",0
"20","Toronto","Non-Official & Non-Aboriginal languages","Afrikaans","lang_known",4260
"21","Calgary","Non-Official & Non-Aboriginal languages","Afrikaans","mother_tongue",960
"22","Calgary","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_home",505
"23","Calgary","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_work",15
"24","Calgary","Non-Official & Non-Aboriginal languages","Afrikaans","lang_known",1955
"25","Edmonton","Non-Official & Non-Aboriginal languages","Afrikaans","mother_tongue",575
"26","Edmonton","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_home",300
"27","Edmonton","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_work",0
"28","Edmonton","Non-Official & Non-Aboriginal languages","Afrikaans","lang_known",1220
