"","category","language","mother_tongue_Toronto","mother_tongue_Calgary","mother_tongue_Edmonton","mother_tongue_Vancouver","most_at_home_Toronto","most_at_home_Calgary","most_at_home_Edmonton","most_at_home_Vancouver","most_at_work_Toronto","most_at_work_Calgary","most_at_work_Edmonton","most_at_work_Vancouver","lang_known_Toronto","lang_known_Calgary","lang_known_Edmonton","lang_known_Vancouver"
"1","Aboriginal languages","Aboriginal languages, n.o.s.",80,20,25,70,50,5,10,15,0,0,0,0,25,15,0,35
"2","Non-Official & Non-Aboriginal languages","Afrikaans",985,960,575,1435,265,505,300,520,0,15,0,10,4260,1955,1220,4225
"3","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",360,45,65,45,185,15,20,10,10,0,0,0,720,170,155,95
"4","Non-Official & Non-Aboriginal languages","Akan (Twi)",8485,705,885,400,4045,330,445,125,20,0,0,10,13715,1150,1435,495
"5","Non-Official & Non-Aboriginal languages","Albanian",13260,1365,770,1090,6380,620,370,530,215,25,10,10,15375,1735,885,1135
"6","Aboriginal languages","Algonquian languages, n.i.e.",5,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0
"7","Aboriginal languages","Algonquin",5,5,0,5,0,0,0,0,0,0,0,0,15,0,0,15
"8","Non-Official & Non-Aboriginal languages","American Sign Language",470,100,180,265,720,85,190,300,245,25,85,140,3505,910,1540,2035
"9","Non-Official & Non-Aboriginal languages","Amharic",7460,4075,2515,1140,3820,2730,1695,540,55,50,35,10,11435,5775,4090,1755
"10","Non-Official & Non-Aboriginal languages","Arabic",85175,18965,17525,14320,45025,11010,10590,8680,1165,240,325,275,125970,28535,28265,19995
"11","Non-Official & Non-Aboriginal languages","Armenian",12575,250,170,1060,7475,110,75,505,140,0,0,0,15225,295,200,1460
"12","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic",10200,295,75,630,6790,200,40,400,110,10,0,25,12500,330,65,715
"13","Aboriginal languages","Athabaskan languages, n.i.e.",5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,10
