Data source: https://datausa.io/
Record of how data was collected: https://github.com/UBC-DSCI/introduction-to-datascience/blob/master/data/retrieve_data.ipynb
Date collected: 2020-07-08
state,pop,med_prop_val,med_income,avg_commute,party
Montana,1042520,217200,46608,16.35,Republican
Alabama,4863300,136200,42917,23.78,Republican
Arizona,6931071,205900,50036,23.69,Republican
Arkansas,2988248,123300,41335,20.49,Republican
California,39250017,477500,61927,27.67,Democratic
Colorado,5540545,314200,61324,23.02,Democratic
Connecticut,3576452,274600,70007,24.92,Democratic
Delaware,952065,243400,59853,24.97,Democratic
District of Columbia,681170,576100,75506,28.96,Democratic
Florida,20612439,197700,47439,25.8,Republican
Georgia,10310371,166800,49240,26.91,Republican
Hawaii,1428557,592000,69549,26.03,Democratic
Idaho,1683140,189400,47572,19.71,Republican
Illinois,12801539,186500,57458,27.49,Democratic
Indiana,6633053,134800,49384,22.66,Republican
Iowa,3134693,142300,53816,18.11,Republican
Kansas,2907289,144900,52392,18.52,Republican
Kentucky,4436974,135600,42914,22.4,Republican
Louisiana,4681666,158000,44680,24.24,Republican
Maine,1331479,184700,49381,22.52,Democratic
Maryland,6016447,306900,73851,31.26,Democratic
Massachusetts,6811779,366900,69200,28.05,Democratic
Michigan,9928300,147100,49755,23.49,Republican
Minnesota,5519952,211800,61473,22.08,Democratic
Mississippi,2988726,113900,39738,23.77,Republican
Missouri,6093000,151400,48288,22.45,Republican
Alaska,741894,267800,70898,17.03,Republican
Nebraska,1907116,148100,52803,17.78,Republican
Nevada,2940058,239500,51487,23.07,Democratic
New Hampshire,1334795,251100,66469,25.25,Democratic
New Jersey,8944469,328200,71968,30.28,Democratic
New Mexico,2081015,167500,44905,20.81,Democratic
New York,19745289,302400,58771,31.95,Democratic
North Carolina,10146788,165400,46596,23.07,Republican
North Dakota,757953,184100,60227,16.5,Republican
Ohio,11614373,140100,49349,22.43,Republican
Oklahoma,3923561,132200,47524,20.47,Republican
Oregon,4093465,287100,51088,22.29,Democratic
Pennsylvania,12784227,174100,53224,25.61,Republican
Rhode Island,1056426,247700,54797,23.78,Democratic
South Carolina,4961119,153900,45337,23.67,Republican
South Dakota,865454,160700,51059,15.73,Republican
Tennessee,6651194,157700,44357,23.9,Republican
Texas,27862596,161500,53067,25.2,Republican
Utah,3051217,250300,60943,20.31,Republican
Vermont,624594,223700,54153,21.49,Democratic
Virginia,8411808,264000,64923,27.03,Democratic
Washington,7288000,306400,61358,26.21,Democratic
West Virginia,1831102,117900,41030,24.36,Republican
Wisconsin,5778709,173200,52632,20.89,Republican
Wyoming,585501,209500,58291,15.94,Republican
Puerto Rico,3411307,111900,20078,28.36,Not Applicable
