created_at,reply_to_status_id,quoted_created_at,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,quoted_verified,retweet_verified,protected,verified,account_lang,profile_background_url,user_id,status_id,screen_name,text,source,ext_media_type,lang,quoted_status_id,quoted_text,quoted_source,quoted_user_id,quoted_screen_name,quoted_name,quoted_location,quoted_description,retweet_status_id,retweet_text,retweet_source,retweet_user_id,retweet_screen_name,retweet_name,retweet_location,retweet_description,place_url,place_name,place_full_name,place_type,country,country_code,status_url,name,location,description,url,profile_url,profile_expanded_url,profile_banner_url,profile_image_url,display_text_width,favorite_count,retweet_count,quote_count,reply_count,quoted_favorite_count,quoted_retweet_count,quoted_followers_count,quoted_friends_count,quoted_statuses_count,retweet_favorite_count,retweet_retweet_count,retweet_followers_count,retweet_friends_count,retweet_statuses_count,followers_count,friends_count,listed_count,statuses_count,favourites_count
2021-04-29T11:59:04Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,1387738202216321024,tidyverse,"Just curious, after the release of R 4.1, will you use |&gt; in your slides or teaching materials instead of %&gt;%? I'll definitely use |&gt; for personal usages, but I'm still wondering whether it's time to recommend it to others or not...🤔🤔🤔 #rstats",Twitter for Android,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,1387397842034053120,"Just curious, after the release of R 4.1, will you use |&gt; in your slides or teaching materials instead of %&gt;%? I'll definitely use |&gt; for personal usages, but I'm still wondering whether it's time to recommend it to others or not...🤔🤔🤔 #rstats",Twitter Web App,959240231684685824,yutannihilat_en,Hiroaki Yutani,"Tokyo, Japan","Wannabe Rstats-fu in the Far East. I love data, visualization, R and 🍣. 日本語は @yutannihilation で",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/1387738202216321024,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,146,0,22,NA,NA,NA,NA,NA,NA,NA,23,22,1833,379,3436,3311,9,69,295,47
2021-04-26T17:05:47Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,1386728226035310594,tidyverse,"List columns provide a ton of leverage! 💪 The #tidyverse makes it a delight to work with data. 🚀 

https://t.co/GS5qRUKIfL #rstats https://t.co/Quup8oL0K9",Twitter for Android,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,1385752186546688003,"List columns provide a ton of leverage! 💪 The #tidyverse makes it a delight to work with data. 🚀 

https://t.co/GS5qRUKIfL #rstats https://t.co/Quup8oL0K9",Twitter for iPhone,944231,statwonk,Christopher Peters 💉,"Mobile, Alabama; us-east-1","Statistician-Economist-Engineer at @zapier (9th emp.) @lsu Masters of Applied #Statistics, 'he/him', #ActuallyAutistic",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/1386728226035310594,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,140,0,9,NA,NA,NA,NA,NA,NA,NA,40,9,3774,4998,28918,3311,9,69,295,47
2021-04-24T09:13:12Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,1385884518863736844,tidyverse,"A new release of the {{recipes}} #rstats package. 

New steps, new selectors, new options for keeping columns used in features! 

https://t.co/8japkJz4Rk",Twitter for Android,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,1385672760173735939,"A new release of the {{recipes}} #rstats package. 

New steps, new selectors, new options for keeping columns used in features! 

https://t.co/8japkJz4Rk",Twitter Web App,960947423320326144,topepos,Max Kuhn,"Connecticut, USA","Writing modeling packages at @rstudio. 

Mayor of Crazytown. 

Tweets are my own. 

Will probably ignore questions that belong on StackOverflow.",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/1385884518863736844,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,140,0,42,NA,NA,NA,NA,NA,NA,NA,175,42,9007,213,1558,3311,9,69,295,47
2021-04-18T06:06:21Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,1383663170720460810,tidyverse,"Always typing `? pivot_longer()`? The PMA Data Hub walks through how to reshape #migration recall data so it can be used for all kinds of longitudinal data analysis!

🔗: https://t.co/lkeK9zLZyw

#tidyverse #pivot_longer #migration #demography #rstats",Twitter for Android,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,1382772501642498048,"Always typing `? pivot_longer()`? The PMA Data Hub walks through how to reshape #migration recall data so it can be used for all kinds of longitudinal data analysis!

🔗: https://t.co/lkeK9zLZyw

#tidyverse #pivot_longer #migration #demography #rstats",Twitter Web App,3290181138,ninarbrooks,Nina Brooks,"Stanford, CA","Environment, health, development. Postdoc @minnpop. Formerly @StanfordEarth, @DukeSanford, @UCBerkeley, @EndOvershoot. 
RTs ≠ endorsements.",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/1383663170720460810,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,140,0,3,NA,NA,NA,NA,NA,NA,NA,9,3,353,723,172,3311,9,69,295,47
2021-04-12T05:48:33Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,1381484360809992197,tidyverse,"If you are fluent in {dplyr} and wish to learn more about {data.table}, it can be nifty to have a function that can provide a syntax translation between the two.

The {show_query} function from {dtplyr} 📦 does just that! 🔄

https://t.co/RKhCwjgNSt

#rstats #DataScience https://t.co/uj9NrXyNhY",Twitter for Android,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,1381129552668323840,"If you are fluent in {dplyr} and wish to learn more about {data.table}, it can be nifty to have a function that can provide a syntax translation between the two.

The {show_query} function from {dtplyr} 📦 does just that! 🔄

https://t.co/RKhCwjgNSt

#rstats #DataScience https://t.co/uj9NrXyNhY",Twitter for iPhone,1353244441281228802,rfunctionaday,R Function A Day,,"R function a day keeps the madness away 🧘‍♀️ — If you are a new follower, please check out older posts as well 😊 — #rstats",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/1381484360809992197,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,140,0,115,NA,NA,NA,NA,NA,NA,NA,670,115,4548,30,107,3311,9,69,295,47
2021-04-08T17:45:34Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,1380215255272456194,tidyverse,R-Ladies of Göttingen! The organizers ⁦@RLadiesGoe⁩ have asked us to sign up for the next online meet-up on April 23rd at 4pm. We will hear about another member’s experience creating an R package and delve into ⁦@tidyverse⁩!  https://t.co/6h3TX0iGP2,Twitter for Android,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,1380090867327889408,R-Ladies of Göttingen! The organizers ⁦@RLadiesGoe⁩ have asked us to sign up for the next online meet-up on April 23rd at 4pm. We will hear about another member’s experience creating an R package and delve into ⁦@tidyverse⁩!  https://t.co/6h3TX0iGP2,Twitter for iPad,3437020947,RhesusMaCassidy,Lauren Cassidy,"Göttingen, Germany","PhD student @DPZ_eu & ultimate Frisbee player. Interested in applied animal behavior, animal welfare, cognition, hormones, and social buffering. she/her",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/1380215255272456194,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,140,0,3,NA,NA,NA,NA,NA,NA,NA,6,3,470,886,923,3311,9,69,295,47
2021-04-01T05:01:38Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,1377486289054920709,tidyverse,"I am ridiculously excited to announce that clock, a new #rstats 📦 for working with date-time data, is now on CRAN!

clock provides comprehensive and safe manipulation of date-times, and is packed with features that I can't wait for you to learn about!

https://t.co/DnKXx4bAqk",Twitter for Android,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,1377264522537402370,"I am ridiculously excited to announce that clock, a new #rstats 📦 for working with date-time data, is now on CRAN!

clock provides comprehensive and safe manipulation of date-times, and is packed with features that I can't wait for you to learn about!

https://t.co/DnKXx4bAqk",Twitter Web App,240051701,dvaughan32,Davis Vaughan,"Charlotte, NC",R / Software Engineer / @rstudio / #rstats / https://t.co/DiYcP2DhhD,NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/1377486289054920709,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,140,0,154,NA,NA,NA,NA,NA,NA,NA,704,154,4420,267,5765,3311,9,69,295,47
2021-03-25T06:05:49Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,1374965725081784321,tidyverse,New book out on using tidyverse tools for data science! Written with @stephaniehicks @mirnas22 and @Shannon_E_Ellis https://t.co/6VGLwJuSzy,Twitter for Android,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,1356725961014837253,New book out on using tidyverse tools for data science! Written with @stephaniehicks @mirnas22 and @Shannon_E_Ellis https://t.co/6VGLwJuSzy,Twitter Web App,9308212,rdpeng,Roger D. Peng,,Professor @jhubiostat; Author of R Programming for Data Science; @simplystats; @NSSDeviations; @theeffortreport,NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/1374965725081784321,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,140,0,249,NA,NA,NA,NA,NA,NA,NA,813,249,44078,365,9763,3311,9,69,295,47
2021-03-18T17:16:21Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,1372597757542866948,tidyverse,"The 0.2.0 version of my #brms + #tidyverse translation of the 2nd edition of Statistical Rethinking is up!

https://t.co/8elgCVrhAA

A lot of great people pitched in on this update. The highlights include:

1/6",Twitter for Android,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,1371869263535947783,"The 0.2.0 version of my #brms + #tidyverse translation of the 2nd edition of Statistical Rethinking is up!

https://t.co/8elgCVrhAA

A lot of great people pitched in on this update. The highlights include:

1/6",Twitter Web App,970129891147632641,SolomonKurz,Solomon Kurz,"Waco, TX",Clinical psychology researcher | applied statistics geek,NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/1372597757542866948,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,140,0,85,NA,NA,NA,NA,NA,NA,NA,261,85,2813,500,4078,3311,9,69,295,47
2021-03-12T19:12:49Z,NA,NA,NA,NA,FALSE,TRUE,NA,TRUE,FALSE,FALSE,NA,NA,759841911456751619,1370452738253938695,tidyverse,"rvest 1.0.0 out now! — https://t.co/81P4vY3zEM. Includes improved html_table(), new html_text2(), and many small improvements to better align with modern tidyverse style #rstats",Twitter for Android,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,1369744014644219909,"rvest 1.0.0 out now! — https://t.co/81P4vY3zEM. Includes improved html_table(), new html_text2(), and many small improvements to better align with modern tidyverse style #rstats",Tweetbot for Mac,69133574,hadleywickham,Hadley Wickham,"Houston, TX","R, data, visualisation, 🐕, 🍸, 🌈. He/him",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/1370452738253938695,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,140,0,104,NA,NA,NA,NA,NA,NA,NA,522,104,120328,270,40856,3311,9,69,295,47
