region,households,area,population,dwellings
Belleville,43002,1354.65121,103472,45050
Lethbridge,45696,3046.69699,117394,48317
Thunder Bay,52545,2618.26318,121621,57146
Peterborough,50533,1636.98336,121721,55662
Saint John,52872,3793.42158,126202,58398
Brantford,52530,1086.27106,134203,54419
Moncton,61769,2625.1211,144810,66699
Guelph,59280,604.00365,151984,63324
Trois-Rivières,72502,1052.80206,156042,77734
Saguenay,72479,3078.79919,160980,77968
Kingston,67915,2142.32855,161175,77173
Greater Sudbury,70445,4372.1229,164689,76619
Abbotsford - Mission,62631,651.99511,180518,65967
Kelowna,81383,3144.90019,194882,88374
Barrie,72534,967.67675,197059,76336
St. John's,85015,850.46041,205955,92353
Sherbrooke,95577,1506.36002,212105,106082
Regina,94955,4408.86418,236481,101719
Saskatoon,115283,6218.50503,295095,124766
Windsor,132912,1032.38176,329144,140408
Victoria,162716,704.4339,367770,172559
Oshawa,138962,908.06142,379848,142462
Halifax,173459,5963.13705,403390,187478
St. Catharines - Niagara,168485,1425.34399,406074,180606
London,206448,2677.86088,494069,220452
Kitchener - Cambridge - Waterloo,200495,1106.65072,523894,210896
Hamilton,293345,1404.6567,747545,306034
Winnipeg,306550,5410.82907,778489,321484
Québec,361891,3475.38576,800296,382308
Edmonton,502143,9857.77908,1321426,537634
Ottawa - Gatineau,535499,7168.96442,1323783,571146
Calgary,519693,5241.70103,1392609,544870
Vancouver,960894,3040.41532,2463431,1027613
Montréal,1727310,4638.24059,4098927,1823281
Toronto,2135909,6269.93132,5928040,2235145
