state,med_income,med_prop_val,population,mean_commute_minutes,party
AK,64222,197300,733375,10.46830207,republican
AL,36924,94800,4830620,25.30990746,republican
AR,35833,83300,2958208,22.40108933,republican
AZ,44748,128700,6641928,20.58786,republican
CA,53075,252100,38421464,23.38085172,democrat
CO,48098,198900,5278906,19.50792188,democrat
CT,69228,246450,3593222,24.349675,democrat
DC,70848,475800,647484,28.2534,democrat
DE,54976,228500,926454,24.45553333,democrat
FL,43355,125600,19645772,24.78055522,republican
GA,37865,101700,10006693,24.54913686,republican
HI,66250,515300.0,1406299,20.0607,democrat
IA,49448,102700,3093526,18.35024141,republican
ID,43080.5,143900,1616547,19.85348409,republican
IL,47898,97350,12873761,22.60102647,democrat
IN,47194,111800,6568645,23.51750326,republican
KS,46875,85200,2892987,16.6927901,republican
KY,38827.5,94050,4397353,24.48607667,republican
LA,40757.5,98250,4625253,25.91754375,republican
MA,63736.5,340850,6705586,23.71458571,democrat
MD,66745.5,250950,5930538,28.619975,democrat
ME,45594,150850,1329100,21.98533125,republican
MI,42161,103200,9900571,21.9278253,republican
MN,51665,141200,5419171,19.88856667,democrat
MO,40597,101200,6045448,22.39582696,republican
MS,33748.5,78700,2988081,25.55173293,republican
MT,44267,135550,1014699,16.0236825,republican
NC,40543.5,134000,9845333,23.762216,republican
ND,54960,101100,721640,16.33697547,republican
NE,49068,91200,1869365,16.43134731,republican
NH,59246.5,218050,1324201,23.84834,democrat
NJ,70471,299700,8904413,28.80076667,democrat
NM,36098,117800,2084117,18.66052121,democrat
NV,51575,131700,2798636,21.82804118,democrat
NY,50839,134150,19673174,24.35477258,democrat
OH,46931,111050,11575977,23.52099659,republican
OK,43781,88500,3849733,21.11157403,republican
OR,43925,180750,3939233,18.54576667,democrat
PA,47313,138500,12779559,24.08608806,republican
RI,69526,311600,1053661,23.36434,democrat
SC,38769.5,100450,4777576,25.11677391,republican
SD,48415.5,88000,843190,15.06728727,republican
TN,38576,108600,6499615,25.52855158,republican
TX,53207.0,136000.0,26538614,21.49732555,republican
UT,50781,173500,2903379,18.93005172,republican
VA,47911,176000,8256630,26.20628872,democrat
VT,52005,210200,626604,22.348928570000002,democrat
WA,48319,184200,6985464,21.50566154,democrat
WI,49754.5,145000,5742117,21.14366528,republican
WV,39096,94600,1851420,27.10972,republican
WY,56569,190000,579679,18.67274783,republican
PR,19350.0,120500.0,3583073,29.0466,not applicable
